Gender,Branch,College_Tier,CGPA,Internships,Projects,Aptitude_Score,Communication_Score,Technical_Score,Backlogs,Attendance_Percentage,Certifications,Coding_Rating,Placement,Salary_LPA
Female,CSE,Tier 2,8.63,5,6,90,49,71,1,93.97,6,1742,1,20.15
Female,CIVIL,Tier 3,7.67,2,4,56,76,51,1,75.34,4,1236,0,0
Female,CSE,Tier 3,9.42,3,4,86,88,52,2,74.94,7,1938,0,0
Male,IT,Tier 3,6.75,4,9,44,99,45,0,70.32,3,1042,0,0
Female,EEE,Tier 2,9.34,1,8,61,90,41,3,68.08,7,1452,0,0
Male,IT,Tier 2,6.54,5,7,75,68,46,3,83.3,2,1936,0,0
Male,ECE,Tier 3,6.86,2,3,59,51,53,0,72.03,6,1218,0,0
Male,CSE,Tier 1,5.8,0,2,52,68,76,2,67.36,0,1252,0,0
Male,EEE,Tier 1,8.45,0,2,88,70,66,4,77.45,2,993,1,15.17
Female,ECE,Tier 2,5.68,1,2,85,52,54,3,95.43,2,843,0,0
Female,IT,Tier 1,9.81,5,2,91,95,82,0,81.42,1,1374,1,20.71
Female,CSE,Tier 2,8.22,2,4,46,40,53,4,66.83,7,832,0,0
Male,CIVIL,Tier 2,7.83,1,5,50,57,93,1,64.29,2,1983,1,15.99
Male,EEE,Tier 2,8.48,3,4,92,51,74,1,66.26,4,1968,1,16.63
Female,ECE,Tier 1,9.42,2,3,65,75,88,2,61.8,7,949,1,19.08
Male,IT,Tier 2,7.49,0,5,88,62,45,4,78.88,1,1936,0,0
Male,CIVIL,Tier 2,6.07,5,2,52,56,83,4,63.93,5,1629,0,0
Female,CSE,Tier 2,6.02,3,1,56,54,94,1,68.38,3,1374,0,0
Male,MECH,Tier 3,5.34,1,5,60,90,60,2,77.48,4,1849,0,0
Female,ECE,Tier 2,9.56,3,4,70,88,50,4,90.41,0,1298,0,0
Male,CIVIL,Tier 1,6.61,2,1,79,42,83,4,90.41,4,1367,0,0
Female,MECH,Tier 1,7.61,4,7,90,51,54,3,82.42,1,1038,1,16.09
Female,CSE,Tier 1,6.59,1,4,99,83,66,2,79.75,7,1965,1,14.35
Female,CSE,Tier 2,5.1,1,2,83,60,67,0,84.88,5,1203,0,0
Male,CSE,Tier 2,9.71,3,2,85,56,84,4,79.21,4,970,1,16.69
Male,ECE,Tier 1,9.56,3,5,57,43,92,4,76.77,1,1748,1,20.58
Male,CSE,Tier 3,9.86,5,3,43,76,76,0,99.38,6,1158,0,0
Male,EEE,Tier 1,5.46,2,9,50,84,68,4,92.85,5,1680,1,12.22
Female,CSE,Tier 3,9.79,1,9,94,52,46,0,61.11,7,1987,0,0
Female,EEE,Tier 1,6.37,3,7,52,88,80,0,60.46,2,893,1,13.74
Male,MECH,Tier 3,9.64,3,4,44,45,89,4,66.86,4,1601,0,0
Male,EEE,Tier 1,9.05,2,2,88,91,43,4,71.8,1,894,1,16.18
Female,IT,Tier 2,7.84,0,3,62,55,61,2,62.08,2,1040,0,0
Male,CSE,Tier 1,6.92,0,9,48,64,86,2,84.78,1,1991,1,15.67
Female,IT,Tier 1,8.03,2,8,78,51,44,3,94.85,6,1755,1,15.23
Male,EEE,Tier 3,6.39,0,4,99,83,84,0,61.1,2,1099,0,0
Male,IT,Tier 1,9.44,2,4,90,80,47,3,81.97,4,1886,1,17.08
Female,IT,Tier 3,5.06,4,9,79,71,53,3,63.25,2,1055,0,0
Male,ECE,Tier 3,5.84,2,2,54,46,42,4,98.66,0,1717,0,0
Female,CIVIL,Tier 3,9.65,5,6,41,70,81,0,77.59,3,1666,1,19.9
Male,ECE,Tier 3,6.5,2,1,58,86,72,1,81.46,4,1286,0,0
Female,EEE,Tier 2,9.66,2,6,99,44,93,3,63.84,1,1967,1,19.97
Male,EEE,Tier 3,6.25,2,6,90,56,70,3,82.1,5,996,0,0
Male,CIVIL,Tier 2,5.03,0,4,85,89,46,3,82.64,4,1012,0,0
Male,CSE,Tier 3,8.66,0,2,46,79,91,0,93.93,3,1963,0,0
Male,MECH,Tier 1,7.97,3,1,92,54,79,0,62.06,2,1222,1,16.06
Female,EEE,Tier 3,7.21,4,5,50,49,82,3,61.9,1,1670,0,0
Male,IT,Tier 3,5.98,1,7,44,81,73,4,64.23,4,1588,0,0
Male,EEE,Tier 2,9.9,3,2,91,65,85,1,61.68,4,1497,1,19.53
Female,CSE,Tier 2,9.49,4,8,75,54,70,0,95.15,3,899,1,17.78
Female,IT,Tier 1,5.95,3,8,51,55,88,2,88.13,5,1709,1,14.19
Female,IT,Tier 3,7.88,1,6,90,77,77,3,67.03,1,1033,0,0
Female,IT,Tier 3,8.5,0,5,94,52,61,1,61.69,1,1709,0,0
Male,EEE,Tier 1,5.74,0,3,46,52,43,2,82.21,1,1859,0,0
Male,CIVIL,Tier 2,9.42,2,2,43,92,65,1,90.34,2,1164,1,17.12
Male,EEE,Tier 3,8.93,0,4,82,43,61,0,77.47,5,1635,0,0
Male,CSE,Tier 1,5.64,3,6,67,92,53,4,93.83,5,1857,1,12.69
Female,ECE,Tier 2,7.29,0,2,44,96,81,1,61.12,4,822,0,0
Female,CIVIL,Tier 1,8.27,2,8,95,48,41,2,79.55,6,805,1,15.46
Male,MECH,Tier 1,6.09,0,8,76,62,66,4,66.77,0,1725,1,12.44
Male,CSE,Tier 3,5.02,5,9,70,87,50,3,87.99,1,949,0,0
Male,MECH,Tier 2,9.86,4,1,77,43,51,4,78.61,5,1535,0,0
Male,IT,Tier 3,6.55,3,9,54,93,58,0,61.36,0,877,0,0
Female,CSE,Tier 2,7.8,2,8,92,69,59,1,74.22,4,1484,1,15.5
Male,ECE,Tier 2,5.21,5,4,86,54,74,4,87.58,2,1094,0,0
Female,EEE,Tier 3,9.93,3,5,75,66,91,3,90.42,3,1644,0,0
Female,IT,Tier 1,9.79,2,7,81,56,42,2,81.74,1,1767,1,18.66
Male,CIVIL,Tier 1,6.02,0,6,73,69,75,0,72.44,0,1357,1,11.83
Female,MECH,Tier 2,9.1,2,3,98,82,82,2,77.63,4,1901,1,18.82
Female,IT,Tier 3,8.33,3,6,59,71,48,0,77.28,0,1307,0,0
Female,IT,Tier 1,8.96,4,1,70,54,80,0,62.49,3,1360,1,19.01
Male,CSE,Tier 2,6.81,3,8,86,83,90,3,73.2,0,1882,1,15.46
Female,EEE,Tier 2,7.58,4,7,81,75,41,1,60.87,4,1046,1,14.31
Female,CIVIL,Tier 3,9.52,0,2,95,85,55,4,75.59,4,1708,0,0
Female,CSE,Tier 3,7.66,2,2,53,87,97,4,93.34,2,1991,0,0
Male,EEE,Tier 1,5.47,1,2,73,74,94,0,70.15,5,1057,1,12.25
Male,CSE,Tier 2,6.15,0,7,87,56,57,4,87.23,7,1789,0,0
Male,EEE,Tier 2,8.12,0,3,91,62,87,3,61.89,6,1880,0,0
Female,ECE,Tier 2,7.63,3,3,68,59,96,4,63.85,6,1860,1,16.77
Male,EEE,Tier 3,8.01,4,2,48,51,65,2,92.48,6,1528,0,0
Male,ECE,Tier 1,9.96,0,3,82,96,89,3,86.69,0,1084,1,16.74
Female,CSE,Tier 1,9.85,2,4,55,91,88,3,73.73,3,934,1,19.14
Female,EEE,Tier 3,5.87,4,7,61,73,67,4,74.4,1,1651,0,0
Female,CIVIL,Tier 3,5.95,1,8,92,79,53,1,75.44,7,1522,0,0
Male,ECE,Tier 1,5.78,4,2,58,42,62,0,97.44,3,1428,1,13.75
Female,MECH,Tier 1,6.39,3,2,73,68,57,4,88.68,3,1589,0,0
Female,ECE,Tier 1,7.56,5,9,44,53,56,4,84.89,4,1463,1,15.84
Male,ECE,Tier 1,7.79,5,5,57,68,74,0,85.72,7,970,1,18.13
Male,CSE,Tier 1,5,0,6,75,60,95,0,60.95,0,1765,1,10.32
Female,IT,Tier 3,8.42,3,5,51,80,86,0,69.9,1,1628,0,0
Female,ECE,Tier 3,7.02,3,7,96,74,90,4,90.99,3,844,0,0
Male,EEE,Tier 1,6.51,3,6,68,85,80,4,72.32,4,1688,1,15.05
Female,CSE,Tier 1,9.96,2,3,74,96,82,4,86.21,7,867,1,19.95
Female,EEE,Tier 2,7.75,3,7,87,71,75,1,97.7,0,921,1,14.36
Female,ECE,Tier 3,9.26,5,3,75,78,91,3,77.87,7,1920,0,0
Female,CSE,Tier 3,8.69,2,5,62,47,92,3,99.78,3,1331,0,0
Female,IT,Tier 2,6.87,0,8,63,84,46,0,63.93,3,1490,0,0
Female,IT,Tier 1,8.63,2,8,79,80,68,0,77.7,2,969,1,15.73
Female,CIVIL,Tier 3,6.35,2,7,87,94,53,4,93.95,3,1282,0,0
Male,EEE,Tier 2,6.98,4,3,57,70,49,1,99.99,0,1195,0,0
Female,CSE,Tier 3,5.98,0,8,71,86,74,1,61.74,0,1223,0,0
Female,CIVIL,Tier 3,6.37,3,4,75,76,69,3,92.13,7,1108,0,0
Female,EEE,Tier 2,6.13,4,5,51,98,98,4,97.12,6,1486,1,14.39
Female,IT,Tier 1,7.14,4,5,55,40,57,3,74.32,3,1379,1,15.27
Male,EEE,Tier 1,5.93,0,5,82,96,79,1,82.88,1,1052,1,11.95
Male,CIVIL,Tier 3,7.2,3,5,95,62,92,2,96.41,7,1544,0,0
Male,MECH,Tier 3,8.09,4,9,62,57,52,4,85.6,4,1665,0,0
Female,ECE,Tier 1,5.73,1,5,93,80,59,2,95.24,1,1147,1,10.46
Female,IT,Tier 3,9.74,2,9,53,60,73,0,91.52,3,1632,0,0
Male,MECH,Tier 3,7.27,4,8,77,91,86,4,97.54,1,1502,0,0
Male,IT,Tier 1,7.48,5,7,55,55,73,2,63.18,4,1079,1,15.09
Female,ECE,Tier 2,5.47,0,3,87,78,63,2,91.37,4,1502,0,0
Female,CIVIL,Tier 2,7.33,0,9,96,81,89,4,72.73,1,873,1,12.55
Male,IT,Tier 2,8.25,5,6,44,65,86,3,72.67,1,955,1,17.52
Male,IT,Tier 2,9.36,3,9,83,46,82,1,81.16,5,816,1,17.86
Male,CSE,Tier 2,8.13,5,4,67,98,82,0,64.98,1,1221,1,18.79
Female,CIVIL,Tier 1,8.82,1,8,92,84,45,1,66.37,7,1906,1,16.41
Male,MECH,Tier 3,9.89,5,9,53,86,76,3,96.34,6,1374,0,0
Female,EEE,Tier 2,10,4,8,66,86,72,4,78.59,3,1959,1,21.29
Female,IT,Tier 2,8.75,3,9,42,83,47,0,83.4,7,1697,1,16.96
Male,CIVIL,Tier 2,5.38,1,1,94,57,89,3,76.61,2,1283,0,0
Male,ECE,Tier 2,7.31,0,7,80,66,66,4,93.29,3,1512,0,0
Female,IT,Tier 2,5.96,2,2,65,60,42,0,76.38,6,875,0,0
Male,ECE,Tier 2,9.01,2,5,94,81,75,1,84.05,6,962,1,15.56
Female,MECH,Tier 3,6.5,1,7,59,96,56,0,83.34,0,1283,0,0
Female,EEE,Tier 3,7.31,3,4,97,53,43,4,65.13,5,1336,0,0
Female,IT,Tier 2,9.12,1,7,40,83,77,0,78.13,5,1653,1,16.75
Female,EEE,Tier 2,6.41,3,5,85,74,69,2,99.72,6,1833,1,14.55
Male,EEE,Tier 2,7.46,1,3,58,82,56,3,93.11,7,1719,0,0
Female,ECE,Tier 2,7.92,2,6,49,69,78,0,70.94,2,1280,1,14.86
Male,IT,Tier 2,6.42,5,8,64,80,88,3,99.25,5,1387,1,15.58
Female,CSE,Tier 1,6.94,0,3,64,73,79,0,85.41,5,1844,1,14.43
Male,IT,Tier 2,8.75,5,5,94,59,45,4,68.67,7,1350,0,0
Male,CSE,Tier 1,5.91,5,7,43,78,77,3,67.99,5,1947,1,16.08
Female,CSE,Tier 1,7.12,0,7,98,98,83,4,70.89,6,1195,1,13.33
Female,MECH,Tier 1,7.61,3,2,60,79,49,0,86.99,7,1617,1,15.75
Male,MECH,Tier 1,8.65,4,6,84,58,56,2,71.75,3,1761,1,18.07
Female,CSE,Tier 1,6.69,4,7,48,56,54,0,99.96,4,1121,1,13.82
Female,CIVIL,Tier 1,5.97,4,4,72,46,59,1,64.56,5,1587,1,14.32
Female,IT,Tier 3,6.74,1,1,68,90,69,2,88.09,2,1409,0,0
Male,MECH,Tier 2,7.24,2,4,55,70,56,4,70.16,7,1238,0,0
Female,MECH,Tier 1,8.28,3,5,77,50,57,2,84.65,1,1206,1,16.86
Female,MECH,Tier 1,5.2,5,1,60,99,92,0,64.24,4,1651,1,14.56
Female,CIVIL,Tier 3,8.89,5,1,73,93,50,0,60.36,5,1242,0,0
Female,ECE,Tier 1,6.45,1,6,44,46,54,0,69.2,6,1510,1,12.24
Male,CSE,Tier 3,8.97,3,6,44,94,58,4,99.08,6,1900,0,0
Male,IT,Tier 3,9.82,2,6,72,49,88,1,62.67,5,848,0,0
Female,CIVIL,Tier 3,7.02,1,4,97,92,53,0,98.54,3,1520,0,0
Female,MECH,Tier 3,8.72,5,1,44,60,51,2,91.35,6,1766,0,0
Male,ECE,Tier 2,9.33,3,1,71,64,88,4,86.99,1,963,0,0
Male,IT,Tier 2,5.34,4,5,89,65,76,0,83.15,2,1036,1,12.13
Female,IT,Tier 1,7.88,3,6,80,73,99,0,95.55,2,895,1,15.27
Male,CIVIL,Tier 2,7.35,4,3,96,47,75,2,79.94,0,1936,1,17.17
Male,IT,Tier 2,7.66,3,5,92,77,72,0,61.6,1,1682,1,17.42
Male,IT,Tier 2,9.38,5,5,48,94,95,3,80.86,1,940,1,19.43
Female,IT,Tier 3,5.24,4,1,58,99,72,4,64.86,7,1449,0,0
Male,MECH,Tier 1,8.76,0,1,66,69,90,1,90.48,0,1310,1,17.62
Female,ECE,Tier 2,6.55,0,2,77,74,82,0,82.76,2,1000,0,0
Female,IT,Tier 3,7.25,2,1,88,43,82,3,87.03,5,1591,0,0
Male,IT,Tier 2,8.93,1,6,51,47,43,3,63.44,0,1561,0,0
Male,CSE,Tier 1,5.25,4,2,86,74,52,3,87.8,4,1744,1,13.2
Male,EEE,Tier 1,7.5,1,6,78,71,85,1,60.52,2,1021,1,15.2
Female,IT,Tier 2,9.5,2,1,89,59,61,1,87.77,4,1166,1,16.94
Male,ECE,Tier 1,5.25,1,8,53,52,50,4,93.68,7,1031,0,0
Male,CSE,Tier 1,6.14,1,8,72,44,56,3,72.46,1,1345,0,0
Female,IT,Tier 3,6.58,4,7,52,73,69,1,94.24,6,1470,0,0
Male,EEE,Tier 1,8.87,1,3,65,53,69,3,94.67,0,988,1,16.1
Male,CIVIL,Tier 2,6.05,5,4,79,84,95,4,69.73,0,1529,1,15.72
Female,EEE,Tier 3,5.01,0,1,40,52,69,1,93.35,2,1606,0,0
Male,EEE,Tier 3,7.47,1,2,83,44,46,3,80.66,6,884,0,0
Male,CSE,Tier 2,5.12,4,6,42,70,59,4,68.34,3,1256,0,0
Female,CIVIL,Tier 3,6.68,5,6,99,69,84,2,61.86,7,1781,0,0
Male,CSE,Tier 2,6.69,3,3,81,50,63,1,98.28,4,1817,0,0
Male,CIVIL,Tier 2,6.96,0,2,65,88,90,0,97.55,2,1399,1,13.46
Male,ECE,Tier 2,9.2,4,7,90,96,90,3,90.25,1,1439,1,19.24
Male,CSE,Tier 2,5.62,2,6,81,71,57,3,79.28,7,1769,0,0
Female,ECE,Tier 1,7,2,4,63,52,87,2,77.9,7,1684,1,15.16
Male,EEE,Tier 2,5.4,2,4,43,74,88,0,70.85,0,1954,1,13.48
Female,MECH,Tier 1,6.69,1,5,84,44,78,0,68.12,4,1385,1,14.12
Female,EEE,Tier 3,6.61,2,4,63,57,48,3,79.74,4,1923,0,0
Male,CSE,Tier 1,9.64,3,4,53,70,45,3,68.56,3,1407,1,18.37
Male,IT,Tier 3,8.52,5,7,93,42,92,1,64.56,1,1672,1,18.36
Male,CSE,Tier 3,6.71,2,9,41,95,78,3,64.37,1,1975,0,0
Female,ECE,Tier 2,8.7,2,7,61,42,97,2,80.77,7,1322,1,18.42
Male,MECH,Tier 2,5.84,1,2,61,48,58,3,90.22,0,1689,0,0
Male,CIVIL,Tier 1,9.03,4,3,57,48,53,0,66.67,6,1703,1,18.21
Male,CSE,Tier 1,6.91,4,6,50,92,83,2,64.22,0,1675,1,16.52
Female,CSE,Tier 2,7.54,1,2,79,41,66,4,87.81,6,1813,0,0
Male,CIVIL,Tier 3,8.45,3,7,74,67,60,2,76,1,1246,0,0
Male,CIVIL,Tier 3,6.57,2,2,55,84,43,1,74.7,4,1183,0,0
Male,IT,Tier 3,6.14,3,8,85,41,53,1,68.67,6,1053,0,0
Female,EEE,Tier 3,7.51,1,4,61,90,58,3,80.6,3,1837,0,0
Male,ECE,Tier 2,9.49,1,1,97,68,54,1,83.02,7,1434,1,15.93
Female,ECE,Tier 1,5.41,4,7,58,92,85,4,80.32,4,1465,1,14.34
Female,ECE,Tier 1,9.62,2,3,95,80,44,0,99.94,4,1237,1,16.48
Female,EEE,Tier 2,5.48,1,9,85,42,90,2,79.15,6,821,0,0
Female,CSE,Tier 2,8.79,4,7,98,69,93,0,80.59,3,1217,1,18.04
Male,MECH,Tier 3,6.71,5,5,60,69,90,2,96.7,4,1653,0,0
Female,MECH,Tier 1,6.7,5,2,48,55,64,3,78.42,3,952,1,14.25
Female,CIVIL,Tier 2,9.84,0,7,80,61,98,3,92.36,2,1588,1,18.37
Female,CIVIL,Tier 3,5.3,3,4,55,51,66,3,64.15,5,1007,0,0
Female,IT,Tier 3,8.63,0,2,68,52,88,4,66.34,3,1529,0,0
Male,CIVIL,Tier 1,5.65,5,1,84,56,90,3,70.23,7,1503,1,14.85
Male,ECE,Tier 1,5.98,3,5,44,77,69,2,93.39,3,1805,1,14.86
Female,CSE,Tier 2,8.77,2,7,76,41,95,2,79.25,1,1245,1,16.65
Female,IT,Tier 1,6.47,4,8,70,97,88,0,96.02,6,800,1,13.36
Female,CIVIL,Tier 1,9.5,1,5,42,43,42,3,80.73,1,1720,0,0
Female,EEE,Tier 2,5.22,2,8,96,87,69,3,88.05,3,1585,0,0
Female,EEE,Tier 2,6.94,3,6,89,76,77,2,90.95,7,1889,1,15.96
Male,CIVIL,Tier 1,5.1,4,6,84,57,46,4,70.04,4,1579,0,0
Male,IT,Tier 3,5.59,0,8,77,62,99,2,85.13,5,1552,0,0
Female,IT,Tier 1,5.65,2,6,90,59,81,3,60.45,7,1879,1,13.93
Female,CIVIL,Tier 3,6.75,3,9,71,87,74,0,77.94,4,1328,0,0
Female,EEE,Tier 1,9.04,1,8,93,66,99,4,66.95,6,1733,1,18.55
Male,CIVIL,Tier 3,5.63,3,9,98,66,98,0,75.82,5,1520,0,0
Female,MECH,Tier 2,6.25,0,6,88,96,60,2,76.01,5,1501,0,0
Male,MECH,Tier 1,8.54,5,6,45,82,45,2,67.67,3,807,1,17.69
Male,ECE,Tier 3,5.15,2,1,62,66,66,2,93.8,4,1503,0,0
Male,MECH,Tier 3,8.94,0,5,79,41,51,1,91.7,0,1636,0,0
Female,EEE,Tier 1,9.57,3,6,44,60,92,0,81.28,4,1885,1,21.14
Female,ECE,Tier 2,7.24,3,6,42,81,42,2,84.89,0,972,0,0
Female,IT,Tier 1,6,2,3,55,66,42,2,69.68,1,1106,0,0
Male,ECE,Tier 1,9.51,5,3,48,96,71,1,78.88,5,1773,1,21.57
Female,ECE,Tier 2,8.86,4,5,72,90,57,2,68.25,3,1582,1,18.29
Male,MECH,Tier 1,6.95,4,1,86,49,44,2,68.8,5,987,0,0
Male,EEE,Tier 1,5.67,2,4,67,85,66,2,66.08,4,1344,1,12.48
Female,CIVIL,Tier 1,8.24,0,5,58,90,89,1,64.75,5,1996,1,16.5
Female,CSE,Tier 3,7.55,1,8,49,89,90,4,74.42,4,914,0,0
Female,IT,Tier 1,9.9,3,4,95,79,74,1,99.14,2,1327,1,18.58
Male,EEE,Tier 1,9.56,0,5,68,60,66,3,83.61,7,1359,1,16.81
Female,CIVIL,Tier 2,5.14,5,7,41,61,49,2,97.73,3,1052,0,0
Female,ECE,Tier 3,8.76,3,2,58,54,75,3,73.09,0,1100,0,0
Male,MECH,Tier 1,7.65,1,4,68,84,88,1,69.87,7,1107,1,16.6
Male,ECE,Tier 1,9.99,4,7,85,42,97,2,69.75,1,1108,1,20.8
Male,ECE,Tier 3,9.49,5,6,47,76,48,4,81.12,7,1901,0,0
Female,MECH,Tier 2,6.52,5,1,84,96,53,4,87.42,5,1183,0,0
Male,CIVIL,Tier 2,9.08,3,3,69,62,56,3,70.56,4,1795,0,0
Female,ECE,Tier 3,8.56,3,3,99,44,88,4,79,7,891,0,0
Female,CIVIL,Tier 2,8.8,3,9,43,40,76,3,91.89,2,800,1,16.67
Male,CIVIL,Tier 2,9.85,0,2,95,67,48,0,72.39,5,1557,1,15.28
Male,MECH,Tier 1,9.05,4,5,84,85,46,1,61.45,4,1866,1,19.15
Female,CIVIL,Tier 1,8.03,2,1,63,70,68,1,75.8,1,1735,1,16.49
Female,CSE,Tier 2,6.92,3,9,79,84,44,2,87,1,1619,1,15.03
Female,IT,Tier 3,6.35,5,5,44,71,41,1,82.68,1,1754,0,0
Female,ECE,Tier 2,9.05,0,1,53,47,68,1,84.19,2,1258,0,0
Female,IT,Tier 3,7.35,4,2,99,71,49,4,66.39,2,1590,0,0
Male,IT,Tier 2,7.13,3,6,78,44,55,4,72.49,2,1154,0,0
Female,CSE,Tier 2,7.67,4,3,73,95,42,0,91.73,0,1538,1,14.78
Female,IT,Tier 1,7.64,2,2,58,63,93,1,66.32,2,990,1,15.41
Female,EEE,Tier 3,6.17,3,5,62,40,94,0,95.18,0,882,0,0
Male,CSE,Tier 1,5.81,5,8,44,65,55,3,73.41,2,1246,1,13.31
Female,MECH,Tier 1,5.16,2,7,41,51,52,0,72.99,6,1931,1,12.65
Female,MECH,Tier 2,5.35,1,4,77,41,86,1,83.01,4,856,0,0
Male,ECE,Tier 1,9.66,1,6,55,54,68,0,72.16,1,1183,1,16.83
Male,EEE,Tier 3,8.77,3,6,86,67,89,1,99.03,3,957,0,0
Male,CSE,Tier 2,8.09,2,5,99,92,52,1,65.68,1,1361,1,14.68
Female,EEE,Tier 2,5.63,3,3,47,83,87,4,90.43,2,1367,0,0
Female,CIVIL,Tier 2,6.64,1,7,87,87,65,0,71.93,0,1407,1,11.66
Male,CSE,Tier 1,8.86,3,3,66,61,68,4,63.45,6,1548,1,18.56
Male,MECH,Tier 1,8.8,3,3,45,47,40,1,61.81,2,896,1,15.54
Female,IT,Tier 3,9.37,5,1,69,41,81,4,68.04,1,1586,0,0
Male,EEE,Tier 1,5.44,0,6,47,73,93,0,82.85,7,1906,1,13.01
Male,ECE,Tier 2,6.19,5,3,77,56,75,3,87.09,1,1605,0,0
Male,EEE,Tier 1,5.19,0,4,66,68,40,2,83.67,7,1815,0,0
Female,CSE,Tier 3,8.91,1,3,78,89,77,1,65.28,2,1482,0,0
Male,MECH,Tier 1,8.77,0,8,48,73,64,2,99.6,7,1715,1,16.2
Female,CIVIL,Tier 2,9.84,0,9,67,72,63,2,73.65,5,1572,1,18.25
Female,ECE,Tier 2,7.51,0,4,81,97,65,0,75.32,6,1395,1,15
Female,ECE,Tier 3,8.01,1,3,59,82,84,1,81.83,5,1256,0,0
Male,ECE,Tier 2,6.41,4,3,60,40,57,1,63.65,1,1122,0,0
Female,EEE,Tier 2,6.08,0,3,90,83,81,3,72.15,3,1310,0,0
Female,CIVIL,Tier 1,5.13,0,3,41,63,66,1,93.82,1,1230,0,0
Female,EEE,Tier 1,8.8,4,5,67,45,81,2,91.63,2,1396,1,18.56
Male,CSE,Tier 3,8.33,5,3,54,71,66,4,80.2,1,844,0,0
Male,IT,Tier 2,7.51,2,8,93,53,89,0,87.73,3,976,1,14.39
Male,ECE,Tier 2,6.73,1,7,56,66,70,0,92.34,1,977,0,0
Male,ECE,Tier 3,7.49,1,2,49,52,44,3,77.01,2,1940,0,0
Female,IT,Tier 2,9.07,2,6,72,67,54,3,65.29,4,1431,0,0
Male,MECH,Tier 2,8.74,2,3,53,58,69,2,96.39,2,1520,0,0
Female,EEE,Tier 1,7.51,4,8,49,94,60,4,93.83,1,1774,1,17.43
Female,ECE,Tier 1,7.44,2,3,57,64,99,0,62.87,2,1171,1,16.88
Female,CIVIL,Tier 1,5.32,0,8,71,65,62,4,98.64,0,1952,0,0
Female,CIVIL,Tier 2,9.72,0,1,45,89,70,1,90.49,6,1215,0,0
Male,CSE,Tier 1,6.84,3,8,76,94,76,1,99.34,7,998,1,14.81
Female,EEE,Tier 1,8.25,3,6,55,88,73,3,77.6,7,1896,1,16.27
Female,ECE,Tier 1,9.98,0,1,49,68,44,1,65.91,3,1881,1,17.8
Female,IT,Tier 3,5.84,1,6,99,85,90,1,81.69,0,876,0,0
Female,CIVIL,Tier 3,9.79,0,1,95,45,96,4,85.11,5,1521,0,0
Female,CIVIL,Tier 1,8.11,3,1,88,76,52,1,85.5,7,1309,1,16.22
Female,CIVIL,Tier 1,8.96,5,2,64,65,97,0,63.24,1,1620,1,20.18
Male,CSE,Tier 3,9.51,0,7,77,75,55,4,90.1,4,1662,0,0
Male,CSE,Tier 3,5.06,2,4,61,80,59,3,82.84,5,1144,0,0
Female,EEE,Tier 1,7.92,4,7,86,81,73,2,87.3,2,1747,1,17.15
Male,ECE,Tier 3,6.97,5,5,98,40,80,4,64.98,2,1912,0,0
Male,ECE,Tier 3,5.78,4,7,41,92,71,4,87.61,2,1857,0,0
Female,CSE,Tier 3,6.74,0,9,49,66,59,4,61.92,0,1746,0,0
Male,IT,Tier 1,9.8,3,3,90,83,41,0,66.07,3,1909,1,19.75
Female,ECE,Tier 2,9.82,4,8,92,71,89,4,72.7,5,1894,1,21.29
Female,IT,Tier 2,8.12,2,7,64,52,50,4,76.25,6,970,0,0
Female,IT,Tier 2,7.48,3,3,51,85,86,3,69.35,3,1099,0,0
